id,location,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03
1,01,209.1,193.7,110.4,79.0,50.7
2,02,0.0,0.0,0.0,0.0,0.0
3,04,616.6,587.5,200.4,86.3,17.4
4,05,147.7,126.9,89.7,60.3,58.4
5,06,940.9,717.2,356.8,388.3,203.6
6,08,192.0,163.6,100.6,58.0,13.3
7,09,105.2,94.0,67.6,37.7,16.0
8,10,31.7,21.5,15.4,10.5,3.7
9,11,31.3,30.3,20.9,9.7,3.2
10,12,790.0,828.2,529.4,349.7,84.6
11,13,496.6,420.2,287.2,212.7,81.2
12,15,9.8,10.8,9.4,5.8,7.5
13,16,90.1,90.6,40.0,18.5,9.7
14,17,290.3,282.3,232.5,164.6,103.7
15,18,328.7,281.0,143.8,128.4,78.6
16,19,49.1,45.5,33.9,27.9,20.4
17,20,47.0,44.0,27.9,18.1,16.7
18,21,200.8,183.7,147.8,99.9,33.1
19,22,207.1,162.2,78.0,18.6,3.1
20,23,29.8,31.6,25.7,13.9,4.1
21,24,220.8,192.2,99.8,66.3,81.9
22,25,399.8,381.8,249.6,201.4,91.9
23,26,316.1,326.6,230.5,103.4,136.7
24,27,107.1,86.4,53.4,75.8,30.7
25,28,163.6,142.7,78.6,40.8,41.2
26,29,215.0,196.6,131.9,34.1,19.4
27,30,77.0,66.7,43.3,26.5,14.4
28,31,22.8,21.1,15.1,1.4,1.2
29,32,78.5,67.8,36.6,5.2,7.2
30,33,19.5,20.8,11.3,13.6,7.6
31,34,474.9,409.3,272.3,99.5,44.6
32,35,139.5,114.1,56.5,29.4,12.3
33,36,852.7,735.4,448.4,303.8,251.0
34,37,448.5,482.4,374.0,152.7,28.7
35,38,20.4,18.5,11.3,7.0,1.7
36,39,360.6,301.7,191.5,109.4,0.0
37,40,77.7,73.6,66.9,26.5,14.6
38,41,73.9,64.7,44.2,43.5,20.2
39,42,519.9,338.8,156.9,135.4,159.5
40,44,20.5,26.4,20.2,10.0,11.2
41,45,324.9,289.1,122.2,44.8,8.6
42,46,27.3,20.1,15.7,9.9,1.8
43,47,376.7,288.8,220.5,84.1,53.2
44,48,1160.6,1252.9,965.7,711.2,581.6
45,49,19.5,16.0,6.8,1.1,0.0
46,50,4.5,4.8,5.0,3.8,1.7
47,51,490.7,324.6,254.9,118.2,35.7
48,53,97.4,80.1,89.5,93.8,51.2
49,54,93.3,80.7,64.4,55.3,31.1
50,55,160.8,134.7,105.5,70.2,1.0
51,56,49.1,60.4,39.5,25.0,15.1
52,72,14.8,14.2,10.6,6.7,1.9
53,US,12242.0,10949.0,7009.9,4497.1,2568.0
